Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,11-12h,0-1km;5.45E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,>12h,0-1km;5.61E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,0-1h,1-2km;2.51E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,1-2h,1-2km;5.64E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,2-3h,1-2km;6.61E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,3-4h,1-2km;7.49E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,4-5h,1-2km;8.17E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,5-6h,1-2km;8.69E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,6-7h,1-2km;9.23E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,7-8h,1-2km;9.77E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,8-9h,1-2km;1.03E+12;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,9-10h,1-2km;1.09E+12;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,10-11h,1-2km;1.15E+12;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,11-12h,1-2km;1.21E+12;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,>12h,1-2km;1.24E+12;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;CO2(total);Urban;TØ,0-1h,0-1km;3.96716404;;;;;
